Taxi Affiliation Services,43.75,30.0
Taxi Affiliation Services,3.25,42.0
Star North Taxi Management Llc,47.75,25.0
"Taxicab Insurance Agency, LLC",51.25,50.0
City Service,67.0,21.9
Taxi Affiliation Services,6.75,40.0
Taxi Affiliation Services,14.75,27.0
Taxi Affiliation Services,28.5,80.0
Chicago Independents,41.5,41.0
Taxi Affiliation Services,45.75,30.0
Taxi Affiliation Services,45.5,25.0
Globe Taxi,120.5,26.0
Top Cab Affiliation,11.75,25.0
City Service,93.5,26.12
Taxi Affiliation Services,5.25,34.25
Taxi Affiliation Services,5.5,50.0
Taxi Affiliation Services,13.5,50.0
Flash Cab,26.0,25.0
Taxi Affiliation Services,170.0,34.1
Medallion Leasin,42.5,25.0
Medallion Leasin,147.0,37.0
Taxi Affiliation Services,9.0,40.0
Taxi Affiliation Services,6.25,50.0
Taxi Affiliation Services,5.0,23.0
Taxi Affiliation Services,3.25,25.0
Sun Taxi,6.25,25.0
KOAM Taxi Association,40.0,25.0
"Taxicab Insurance Agency, LLC",3.5,20.7
Taxi Affiliation Services,3.25,45.0
Globe Taxi,36.0,30.0
U Taxicab,41.0,30.0
Sun Taxi,28.5,28.0
Taxi Affiliation Services,11.5,60.0
Taxi Affiliation Services,8.75,30.0
Taxi Affiliation Services,22.5,50.0
Taxi Affiliation Services,38.75,30.0
Star North Taxi Management Llc,26.75,25.0
Taxi Affiliation Services,7.75,40.0
Taxi Affiliation Services,13.5,30.0
Flash Cab,9.25,25.0
Flash Cab,3.25,25.0
Flash Cab,3.25,22.0
Taxi Affiliation Services,74.75,50.0
Blue Ribbon Taxi Association,29.0,30.0
Sun Taxi,70.5,23.55
U Taxicab,38.0,25.0
Choice Taxi Association,72.5,20.75
Sun Taxi,27.0,25.0
Taxi Affiliation Services,27.25,25.0
