"Taxicab Insurance Agency, LLC",73.25,23.25
Sun Taxi,73.0,34.05
Taxi Affiliation Services,148.5,30.9
Chicago Independents,70.5,22.1
City Service,40.0,20.4
Sun Taxi,72.0,29.38
City Service,56.75,23.06
Globe Taxi,43.0,21.38
City Service,72.5,22.7
Sun Taxi,67.0,21.7
5 Star Taxi,104.25,24.56
Taxi Affiliation Services,42.5,21.0
Top Cab Affiliation,104.0,21.9
Sun Taxi,74.5,20.25
City Service,68.5,21.9
Blue Ribbon Taxi Association,77.5,21.0
Sun Taxi,75.0,20.62
City Service,55.5,30.0
Taxi Affiliation Services,45.25,50.0
Taxi Affiliation Services,39.75,25.0
Taxi Affiliation Services,9.0,25.0
Taxi Affiliation Services,19.5,27.0
City Service,43.5,40.0
5 Star Taxi,3.25,40.0
Flash Cab,3.25,24.5
"Taxicab Insurance Agency, LLC",107.25,21.55
Chicago Independents,29.0,25.0
Patriot Taxi Dba Peace Taxi Associat,8.75,25.0
Top Cab Affiliation,68.0,70.0
Top Cab Affiliation,46.5,30.0
Flash Cab,45.75,30.0
Taxi Affiliation Services,17.5,60.0
Taxi Affiliation Services,3.25,38.0
Flash Cab,39.5,40.0
24 Seven Taxi,80.0,20.12
Flash Cab,39.25,40.0
Taxi Affiliation Services,52.0,20.6
Medallion Leasin,51.0,25.0
Choice Taxi Association,89.0,28.05
City Service,80.0,20.12
Sun Taxi,69.5,21.0
Sun Taxi,106.0,28.88
Flash Cab,3.75,50.0
312 Medallion Management Corp,46.25,40.0
City Service,78.5,31.88
Chicago Independents,84.5,28.2
Flash Cab,52.5,20.75
Sun Taxi,52.5,21.5
24 Seven Taxi,266.75,44.0
Flash Cab,86.75,27.85
Flash Cab,70.0,22.4
Flash Cab,87.0,22.88
Sun Taxi,82.0,25.8
Chicago Independents,66.5,20.6
Flash Cab,84.75,27.15
Sun Taxi,110.0,22.2
"Taxicab Insurance Agency, LLC",71.75,22.85
City Service,70.0,27.88
Medallion Leasin,3.25,20.62
"Taxicab Insurance Agency, LLC",111.1,22.3
Sun Taxi,34.0,25.0
Chicago Independents,58.0,23.88
Flash Cab,64.0,22.0
Medallion Leasin,64.5,20.3
Chicago Independents,55.75,23.0
Flash Cab,118.75,37.75
U Taxicab,3.25,150.0
Sun Taxi,70.5,28.12
Medallion Leasin,145.0,29.2
"Taxicab Insurance Agency, LLC",63.5,20.6
Sun Taxi,49.0,39.28
City Service,52.75,21.06
City Service,100.0,25.25
Sun Taxi,56.25,27.08
Medallion Leasin,90.25,28.55
Top Cab Affiliation,36.25,26.0
Chicago Independents,93.5,44.7
City Service,146.0,29.4
Taxi Affiliation Services,63.75,20.75
Flash Cab,157.75,61.56
Top Cab Affiliation,51.25,21.3
Sun Taxi,123.25,32.15
Sun Taxi,71.0,22.5
Top Cab Affiliation,64.0,20.1
Globe Taxi,165.0,24.82
Top Cab Affiliation,80.75,26.45
Choice Taxi Association,3.25,30.0
Taxi Affiliation Services,185.0,37.1
Flash Cab,80.75,26.25
Sun Taxi,81.25,32.94
Sun Taxi,70.0,22.2
City Service,43.5,25.0
Sun Taxi,183.0,56.4
Chicago Independents,51.5,21.0
City Service,27.5,22.12
City Service,89.25,28.55
Flash Cab,72.75,22.65
Sun Taxi,102.5,20.7
City Service,70.0,33.75
Flash Cab,76.25,24.35
Chicago Taxicab,70.5,24.3
Sun Taxi,152.25,35.0
Medallion Leasin,52.0,21.88
Sun Taxi,75.25,23.95
City Service,77.25,25.05
Taxi Affiliation Services,3.25,20.3
Chicago Independents,62.5,20.2
Medallion Leasin,67.5,22.2
Chicago Independents,112.75,25.0
Sun Taxi,101.25,31.45
Sun Taxi,111.0,22.4
Flash Cab,48.0,33.0
Taxi Affiliation Services,3.25,47.0
Sun Taxi,62.5,26.0
Chicago Independents,61.5,21.2
City Service,50.25,20.06
5 Star Taxi,112.0,23.7
5 Star Taxi,68.5,22.2
U Taxicab,3.25,87.0
City Service,4.0,91.0
Globe Taxi,112.0,50.0
Blue Ribbon Taxi Association,82.75,20.21
Sun Taxi,64.75,20.25
Globe Taxi,50.5,25.0
City Service,58.75,24.69
Top Cab Affiliation,75.0,28.1
Sun Taxi,89.75,28.15
Taxi Affiliation Services,3.5,20.7
Sun Taxi,78.0,31.12
Chicago Independents,57.5,23.12
Chicago Independents,87.5,25.7
Flash Cab,85.0,26.8
Globe Taxi,100.0,25.12
Medallion Leasin,51.0,24.3
Sun Taxi,75.25,45.0
Chicago Independents,69.25,22.35
U Taxicab,38.75,100.0
Chicago Independents,63.25,25.31
5 Star Taxi,192.75,30.64
Sun Taxi,67.25,21.75
Chicago Independents,75.0,23.1
Chicago Taxicab,85.75,20.59
City Service,333.0,25.0
Sun Taxi,3.75,20.19
Blue Ribbon Taxi Association Inc.,44.5,35.0
City Service,3.5,100.0
Sun Taxi,92.25,29.35
Top Cab Affiliation,93.75,45.0
Flash Cab,58.5,21.1
Chicago Independents,3.5,25.88
Top Cab,213.5,43.6
Medallion Leasin,82.5,20.7
"Taxicab Insurance Agency, LLC",89.5,26.4
Sun Taxi,51.0,37.75
Taxi Affiliation Services,56.5,25.0
Taxi Affiliation Services,65.5,23.55
City Service,66.5,23.5
Taxi Affiliation Services,80.25,60.0
Sun Taxi,70.75,25.42
Globe Taxi,105.25,36.69
Sun Taxi,69.0,21.6
City Service,63.25,45.0
Flash Cab,79.0,21.1
Sun Taxi,82.25,22.35
Chicago Independents,70.75,27.06
Taxi Affiliation Services,51.0,70.0
Flash Cab,76.0,20.6
Globe Taxi,31.75,30.0
Sun Taxi,89.5,26.7
Taxi Affiliation Services,39.5,40.0
City Service,65.75,30.08
Sun Taxi,115.75,29.45
Taxi Affiliation Services,32.25,25.0
Taxi Affiliation Services,66.5,21.6
Taxi Affiliation Services,41.0,25.0
Taxi Affiliation Services,86.75,27.85
Sun Taxi,145.5,45.9
Taxi Affiliation Services,37.75,22.0
Medallion Leasin,68.75,22.15
Medallion Leasin,73.25,28.19
Taxi Affiliation Services,65.25,40.0
Taxi Affiliation Services,52.25,30.0
Taxi Affiliation Services,79.0,24.4
U Taxicab,68.0,20.5
Taxi Affiliation Services,125.75,25.0
Chicago Taxicab,75.5,24.0
Taxi Affiliation Services,86.0,43.25
Taxi Affiliation Services,99.25,31.95
Taxi Affiliation Services,50.25,36.0
"Taxicab Insurance Agency, LLC",56.25,22.15
Taxicab Insurance Agency Llc,95.0,21.52
Taxi Affiliation Services,72.75,22.65
City Service,76.0,65.0
Taxi Affiliation Services,60.0,25.4
City Service,88.75,37.75
Medallion Leasin,105.0,34.0
Medallion Leasin,65.0,20.6
Taxi Affiliation Services,35.25,25.0
Taxi Affiliation Services,74.75,29.05
Choice Taxi Association,88.75,29.35
2733 - 74600 Benny Jona,74.5,23.4
Sun Taxi,75.75,24.35
Globe Taxi,64.0,20.47
Globe Taxi,85.5,27.3
Sun Taxi,101.0,32.9
"Taxicab Insurance Agency, LLC",53.5,26.7
Taxi Affiliation Services,87.75,35.8
"Taxicab Insurance Agency, LLC",83.0,26.7
Globe Taxi,89.75,37.81
Taxicab Insurance Agency Llc,76.0,25.3
Taxi Affiliation Services,44.0,32.0
City Service,75.75,24.35
Chicago Independents,87.0,27.5
Globe Taxi,65.25,21.6
Globe Taxi,79.0,25.7
Sun Taxi,91.5,28.9
City Service,70.5,22.9
Chicago Independents,69.0,21.8
Globe Taxi,89.0,26.8
"Taxicab Insurance Agency, LLC",77.75,24.55
City Service,79.75,25.95
Taxi Affiliation Services,86.0,33.85
Medallion Leasin,68.0,21.7
Sun Taxi,64.25,27.31
Choice Taxi Association,78.75,21.8
Blue Ribbon Taxi Association Inc.,82.75,27.05
Medallion Leasin,70.75,20.25
Sun Taxi,84.0,26.3
KOAM Taxi Association,53.75,20.3
City Service,53.25,26.02
Globe Taxi,67.5,27.88
"Taxicab Insurance Agency, LLC",56.5,23.0
Flash Cab,74.75,23.65
Choice Taxi Association,88.0,28.1
Sun Taxi,76.0,36.45
Medallion Leasin,51.75,20.94
Medallion Leasin,54.25,21.56
Choice Taxi Association,68.0,28.1
Sun Taxi,72.5,28.5
Sun Taxi,61.75,20.05
Taxi Affiliation Services,96.5,50.0
Sun Taxi,84.0,26.7
"Taxicab Insurance Agency, LLC",68.75,21.05
Flash Cab,48.25,20.69
Flash Cab,75.5,23.6
City Service,69.75,22.55
"Taxicab Insurance Agency, LLC",69.25,21.85
"Taxicab Insurance Agency, LLC",69.0,21.9
Blue Ribbon Taxi Association Inc.,96.25,30.25
Sun Taxi,72.75,24.25
Taxi Affiliation Services,50.25,20.9
Top Cab Affiliation,63.5,20.4
Taxi Affiliation Services,78.25,24.35
Flash Cab,66.75,21.45
Flash Cab,90.5,21.9
Sun Taxi,84.0,25.8
Flash Cab,69.0,21.5
Sun Taxi,90.75,28.05
Medallion Leasin,71.25,22.75
Blue Ribbon Taxi Association Inc.,114.75,27.55
Chicago Independents,46.5,22.92
Flash Cab,123.0,25.5
Sun Taxi,71.5,29.88
Taxi Affiliation Services,74.75,21.55
U Taxicab,51.75,20.8
Globe Taxi,69.0,45.0
"Taxicab Insurance Agency, LLC",61.5,25.0
City Service,76.25,25.25
Top Cab Affiliation,63.0,20.4
Taxi Affiliation Services,69.5,22.3
Taxi Affiliation Services,52.25,22.65
Chicago Independents,55.25,24.2
